team,player,pos,age,years_remaining,terms,acquired,status,cap%,free_agency_type,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,player_id,full,yrs_2324,yrs_2425,yrs_2526,yrs_2627,yrs_2728,yrs_2829
CBJ,Liam Foudy,"LW, C",23.0,1,,Draft,NHL,0.009000000000000001,RFA,762500,0,0,0,0,0,8480853.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Zachary Werenski,LD,26.0,5,NMC,Draft,NHL,0.115,UFA,9583333,9583333,9583333,9583333,9583333,0,8478460.0,Columbus Blue Jackets,5,4,3,2,1,0
CBJ,Damon Severson,RD,29.0,8,NTC,Trade,NHL,0.075,UFA,6250000,6250000,6250000,6250000,6250000,6250000,8476923.0,Columbus Blue Jackets,8,7,6,5,4,3
CBJ,Ivan Provorov,LD,26.0,2,RS,Trade,NHL,0.057,UFA,4725000,4725000,0,0,0,0,8478500.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CBJ,Erik Gudbranson,RD,31.0,3,M-NTC,Signed,NHL,0.048,UFA,4000000,4000000,4000000,0,0,0,8475790.0,Columbus Blue Jackets,3,2,1,0,-1,-2
CBJ,Andrew Peeke,RD,25.0,3,,Draft,NHL,0.033,UFA,2750000,2750000,2750000,0,0,0,8479369.0,Columbus Blue Jackets,3,2,1,0,-1,-2
CBJ,Adam Boqvist,RD,23.0,2,,Trade,NHL,0.031,RFA,2600000,2600000,0,0,0,0,8480871.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CBJ,Jake Bean,LD/RD,25.0,1,,Trade,NHL,0.027999999999999997,RFA,2333333,0,0,0,0,0,8479402.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Tim Berni,LD,23.0,0,,Draft,NHL,,RFA,0,0,0,0,0,0,8481072.0,Columbus Blue Jackets,0,-1,-2,-3,-4,-5
CBJ,Emil Bemstrom,"RW, LW",24.0,1,,Draft,NHL,0.011000000000000001,RFA,900000,0,0,0,0,0,8480205.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Spencer Martin,G,28.0,1,,Waivers claim,NHL,0.009000000000000001,UFA,762500,0,0,0,0,0,8477484.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Elvis Merzlikins,G,29.0,4,M-NTC,Draft,NHL,0.065,UFA,5400000,5400000,5400000,5400000,0,0,8478007.0,Columbus Blue Jackets,4,3,2,1,0,-1
CBJ,Yegor Chinakhov,"RW, LW",22.0,1,,Draft,IR,0.01,RFA,800000,0,0,0,0,0,8482475.0,Columbus Blue Jackets,1,0,-1,-2,-3,-4
CBJ,Daniil Tarasov,G,24.0,2,,Draft,IR,0.013000000000000001,RFA,1050000,1050000,0,0,0,0,8480193.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CBJ,Mathieu Olivier,RW,26.0,2,,Trade,IR,0.013000000000000001,UFA,1100000,1100000,0,0,0,0,8479671.0,Columbus Blue Jackets,2,1,0,-1,-2,-3
CGY,Kevin Rooney,C,30.0,1,,Signed,IR,0.016,UFA,1300000,0,0,0,0,0,8479291.0,Calgary Flames,1,0,-1,-2,-3,-4
CGY,Jonathan Huberdeau,"LW, RW",30.0,8,NMC,Trade,NHL,0.126,UFA,10500000,10500000,10500000,10500000,10500000,10500000,8476456.0,Calgary Flames,8,7,6,5,4,3
