label,value,team,situation,n_games
cum_dif,-97.7,ARI,4on5,all
Points,0.25,ARI,4on5,last 20 games
Goals For,0.27,ARI,4on5,last 20 games
Goal Differential,0.31,ARI,4on5,last 20 games
Shooting %,0.41,ARI,4on5,last 20 games
Save %,0.56,ARI,4on5,last 20 games
sv%,0.877,ARI,4on5,last 20 games
Blocked shot attempt %,0.23,ARI,4on5,last 20 games
Blocked shot attempt % against,0.34,ARI,4on5,last 20 games
Expected Goals For,0.39,ARI,4on5,last 20 games
XG Differential,0.48,ARI,4on5,last 20 games
Shot (FW) Volume,0.19,ARI,4on5,last 20 games
Shot (FW) Differential,0.06,ARI,4on5,last 20 games
Penalty Differential,0.62,ARI,4on5,last 20 games
offense_p60_perc,0.38,ARI,4on5,last 20 games
defense_p60_perc,0.36,ARI,4on5,last 20 games
cum_dif_p60_perc,0.28,ARI,4on5,last 20 games
offense,2.75,ARI,4on5,last 20 games
defense,28.02,ARI,4on5,last 20 games
cum_dif,-25.27,ARI,4on5,last 20 games
Points,0.55,ARI,4on5,last 10 games
Goals For,0.41,ARI,4on5,last 10 games
Goal Differential,0.34,ARI,4on5,last 10 games
Shooting %,0.69,ARI,4on5,last 10 games
Save %,0.66,ARI,4on5,last 10 games
sv%,0.892,ARI,4on5,last 10 games
Blocked shot attempt %,0.31,ARI,4on5,last 10 games
Blocked shot attempt % against,0.59,ARI,4on5,last 10 games
Expected Goals For,0.34,ARI,4on5,last 10 games
XG Differential,0.19,ARI,4on5,last 10 games
Shot (FW) Volume,0.12,ARI,4on5,last 10 games
Shot (FW) Differential,0.06,ARI,4on5,last 10 games
Penalty Differential,0.56,ARI,4on5,last 10 games
offense_p60_perc,0.44,ARI,4on5,last 10 games
defense_p60_perc,0.36,ARI,4on5,last 10 games
cum_dif_p60_perc,0.22,ARI,4on5,last 10 games
offense,1.88,ARI,4on5,last 10 games
defense,16.810000000000002,ARI,4on5,last 10 games
cum_dif,-14.930000000000003,ARI,4on5,last 10 games
Points,0.47,ARI,4on5,last 5 games
Goals For,0.69,ARI,4on5,last 5 games
Goal Differential,0.12,ARI,4on5,last 5 games
Shooting %,0.94,ARI,4on5,last 5 games
Save %,0.22,ARI,4on5,last 5 games
sv%,0.829,ARI,4on5,last 5 games
Blocked shot attempt %,0.31,ARI,4on5,last 5 games
Blocked shot attempt % against,0.8,ARI,4on5,last 5 games
Expected Goals For,0.47,ARI,4on5,last 5 games
XG Differential,0.22,ARI,4on5,last 5 games
Shot (FW) Volume,0.16,ARI,4on5,last 5 games
Shot (FW) Differential,0.06,ARI,4on5,last 5 games
Penalty Differential,0.55,ARI,4on5,last 5 games
offense_p60_perc,0.66,ARI,4on5,last 5 games
defense_p60_perc,0.09,ARI,4on5,last 5 games
cum_dif_p60_perc,0.12,ARI,4on5,last 5 games
offense,1.52,ARI,4on5,last 5 games
defense,11.33,ARI,4on5,last 5 games
cum_dif,-9.81,ARI,4on5,last 5 games
Points,0.16,ARI,5on4,all
Goals For,0.25,ARI,5on4,all
Goal Differential,0.47,ARI,5on4,all
Shooting %,0.62,ARI,5on4,all
Save %,1.0,ARI,5on4,all
sv%,0.979,ARI,5on4,all
Blocked shot attempt %,0.61,ARI,5on4,all
Blocked shot attempt % against,0.91,ARI,5on4,all
Expected Goals For,0.25,ARI,5on4,all
XG Differential,0.33,ARI,5on4,all
Shot (FW) Volume,0.09,ARI,5on4,all
Shot (FW) Differential,0.09,ARI,5on4,all
Penalty Differential,0.42,ARI,5on4,all
offense_p60_perc,0.22,ARI,5on4,all
defense_p60_perc,0.97,ARI,5on4,all
cum_dif_p60_perc,0.38,ARI,5on4,all
offense,62.03,ARI,5on4,all
defense,5.6,ARI,5on4,all
cum_dif,56.43,ARI,5on4,all
Points,0.25,ARI,5on4,last 20 games
Goals For,0.31,ARI,5on4,last 20 games
Goal Differential,0.53,ARI,5on4,last 20 games
Shooting %,0.47,ARI,5on4,last 20 games
Save %,0.92,ARI,5on4,last 20 games
sv%,1.0,ARI,5on4,last 20 games
Blocked shot attempt %,0.91,ARI,5on4,last 20 games
Blocked shot attempt % against,0.69,ARI,5on4,last 20 games
Expected Goals For,0.28,ARI,5on4,last 20 games
XG Differential,0.5,ARI,5on4,last 20 games
Shot (FW) Volume,0.25,ARI,5on4,last 20 games
Shot (FW) Differential,0.38,ARI,5on4,last 20 games
Penalty Differential,0.62,ARI,5on4,last 20 games
offense_p60_perc,0.31,ARI,5on4,last 20 games
defense_p60_perc,0.91,ARI,5on4,last 20 games
cum_dif_p60_perc,0.56,ARI,5on4,last 20 games
offense,16.4,ARI,5on4,last 20 games
defense,0.85,ARI,5on4,last 20 games
cum_dif,15.549999999999999,ARI,5on4,last 20 games
Points,0.55,ARI,5on4,last 10 games
Goals For,0.56,ARI,5on4,last 10 games
Goal Differential,0.69,ARI,5on4,last 10 games
Shooting %,0.81,ARI,5on4,last 10 games
Save %,0.81,ARI,5on4,last 10 games
sv%,1.0,ARI,5on4,last 10 games
Blocked shot attempt %,0.81,ARI,5on4,last 10 games
Blocked shot attempt % against,0.69,ARI,5on4,last 10 games
Expected Goals For,0.42,ARI,5on4,last 10 games
XG Differential,0.53,ARI,5on4,last 10 games
Shot (FW) Volume,0.22,ARI,5on4,last 10 games
Shot (FW) Differential,0.28,ARI,5on4,last 10 games
Penalty Differential,0.41,ARI,5on4,last 10 games
