season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif
20232024,2023020013,2023-10-12,DAL,1,home,STL,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020014,2023-10-12,FLA,1,away,MIN,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020014,2023-10-12,MIN,1,home,FLA,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020015,2023-10-12,NSH,2,home,SEA,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020015,2023-10-12,SEA,2,away,NSH,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020016,2023-10-12,VGK,2,away,SJS,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020016,2023-10-12,SJS,1,home,VGK,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020017,2023-10-13,ARI,1,away,NJD,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020017,2023-10-13,NJD,2,home,ARI,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020018,2023-10-13,PIT,2,away,WSH,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020018,2023-10-13,WSH,1,home,PIT,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020019,2023-10-14,PHI,2,away,OTT,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020019,2023-10-14,OTT,2,home,PHI,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020020,2023-10-14,WPG,2,home,FLA,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20232024,2023020020,2023-10-14,FLA,2,away,WPG,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
