team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
MTL,Rem Pitlick,scratch,F,32.0,L,46.0,12.92246376811594,12.0,6.0,6.0,3.0,5.69927801,51.0,0.3584416221899945,19.19927801,42.12964042,-74.44720799000001,26,NHL,2,UFA,1100000,Montreal Canadiens,"Rem Pitlick

GP: 46.0

TOI per game: 12.92246376811594

G: 6.0

A: 9.0

Primary PTS: 12.0

iXG: 5.69927801

iFW: 51.0

XG%: 0.3584416221899945"
NJD,Brendan Smith,scratch,D,2.0,L,60.0,15.428055555555554,1.0,0.0,1.0,4.0,3.64299293,82.0,0.5704021257210936,6.64299293,79.97814701,-84.84315921,34,NHL,2,UFA,1100000,New Jersey Devils,"Brendan Smith

GP: 60.0

TOI per game: 15.428055555555554

G: 0.0

A: 5.0

Primary PTS: 1.0

iXG: 3.64299293

iFW: 82.0

XG%: 0.5704021257210936"
NYI,Ross Johnston,scratch,F,32.0,L,16.0,7.575,2.0,0.0,2.0,0.0,0.3349081,5.0,0.3634850037888098,2.3349081,6.8564218,-10.00200914,29,NHL,4,UFA,1100000,New York Islanders,"Ross Johnston

GP: 16.0

TOI per game: 7.575

G: 0.0

A: 2.0

Primary PTS: 2.0

iXG: 0.3349081

iFW: 5.0

XG%: 0.3634850037888098"
DAL,Joel Kiviranta,scratch,F,25.0,L,70.0,12.108095238095238,8.0,8.0,0.0,1.0,10.5691559,113.0,0.442091397245239,19.0691559,44.29619755,-74.22115934,27,NHL,1,UFA,1050000,Dallas Stars,"Joel Kiviranta

GP: 70.0

TOI per game: 12.108095238095238

G: 8.0

A: 1.0

Primary PTS: 8.0

iXG: 10.5691559

iFW: 113.0

XG%: 0.442091397245239"
NJD,Curtis Lazar,scratch,F,42.0,R,49.0,11.482312925170069,4.0,3.0,1.0,1.0,6.62678865,69.0,0.4577694585648229,11.12678865,35.22550892,-68.11933839,28,NHL,3,UFA,1000000,New Jersey Devils,"Curtis Lazar

GP: 49.0

TOI per game: 11.482312925170069

G: 3.0

A: 2.0

Primary PTS: 4.0

iXG: 6.62678865

iFW: 69.0

XG%: 0.4577694585648229"
COL,Kurtis MacDermid,scratch,D,56.0,L,44.0,8.03560606060606,4.0,1.0,3.0,2.0,1.15598349,28.0,0.4579321321179055,6.15598349,24.79660397,-28.97830791,29,NHL,2,UFA,987500,Colorado Avalanche,"Kurtis MacDermid

GP: 44.0

TOI per game: 8.03560606060606

G: 1.0

A: 5.0

Primary PTS: 4.0

iXG: 1.15598349

iFW: 28.0

XG%: 0.4579321321179055"
CBJ,Justin Danforth,scratch,F,17.0,R,6.0,13.388888888888888,3.0,2.0,1.0,0.0,1.64379393,17.0,0.4827742296559227,4.64379393,8.5912753,-10.08951055,30,IR,2,UFA,975000,Columbus Blue Jackets,"Justin Danforth

GP: 6.0

TOI per game: 13.388888888888888

G: 2.0

A: 1.0

Primary PTS: 3.0

iXG: 1.64379393

iFW: 17.0

XG%: 0.4827742296559227"
STL,Robert Bortuzzo,scratch,D,41.0,R,43.0,12.566666666666666,4.0,2.0,2.0,1.0,1.3924877,43.0,0.460643229260213,5.8924877,41.38301048,-63.01702794,34,NHL,2,UFA,950000,St. Louis Blues,"Robert Bortuzzo

GP: 43.0

TOI per game: 12.566666666666666

G: 2.0

A: 3.0

Primary PTS: 4.0

iXG: 1.3924877

iFW: 43.0

XG%: 0.460643229260213"
CGY,Matthew Coronato,scratch,F,39.0,R,,,,,,,,,,,,,20,NHL,3,10.2(c),925000,Calgary Flames,"Matthew Coronato

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
ANA,Nikita Nesterenko,scratch,F,62.0,L,9.0,12.727777777777778,1.0,1.0,0.0,0.0,2.36476835,28.0,0.3409653173266203,3.36476835,6.19576618,-11.81264159,21,NHL,2,RFA,925000,Anaheim Ducks,"Nikita Nesterenko

GP: 9.0

TOI per game: 12.727777777777778

G: 1.0

A: 0.0

Primary PTS: 1.0

iXG: 2.36476835

iFW: 28.0

XG%: 0.3409653173266203"
