season,team,round,picks,rd_value,draft_capital_rank
2025,TBL,Round 3,1.0,0.287,32.0
2025,TOR,Round 3,1.0,0.287,30.0
2025,EDM,Round 3,1.0,0.287,22.0
2025,FLA,Round 3,1.0,0.287,28.0
2025,PIT,Round 3,1.0,0.287,26.0
2025,NSH,Round 3,1.0,0.287,4.0
2025,NYR,Round 3,0.0,0.287,25.0
2025,DET,Round 3,1.0,0.287,15.0
2025,BUF,Round 3,1.0,0.287,13.0
2025,OTT,Round 3,1.0,0.287,11.0
2025,SJS,Round 3,1.0,0.287,7.0
2025,DAL,Round 3,1.0,0.287,27.0
2025,MIN,Round 3,1.0,0.287,18.0
2025,COL,Round 4,1.0,0.192,23.0
2025,CHI,Round 4,2.0,0.192,2.0
2025,CBJ,Round 4,1.0,0.192,16.0
2025,STL,Round 4,1.0,0.192,9.0
2025,BOS,Round 4,0.0,0.192,31.0
2025,MTL,Round 4,2.0,0.192,3.0
2025,VAN,Round 4,1.0,0.192,29.0
2025,WSH,Round 4,1.0,0.192,8.0
2025,ARI,Round 4,1.0,0.192,1.0
2025,NJD,Round 4,1.0,0.192,19.0
2025,ANA,Round 4,1.0,0.192,10.0
2025,CGY,Round 4,0.0,0.192,6.0
2025,PHI,Round 4,1.0,0.192,5.0
2025,VGK,Round 4,1.0,0.192,17.0
2025,CAR,Round 4,1.0,0.192,14.0
2025,NYI,Round 4,1.0,0.192,20.0
2025,WPG,Round 4,0.0,0.192,24.0
2025,LAK,Round 4,1.0,0.192,21.0
2025,SEA,Round 4,1.0,0.192,12.0
2025,TBL,Round 4,1.0,0.192,32.0
2025,TOR,Round 4,0.0,0.192,30.0
2025,EDM,Round 4,1.0,0.192,22.0
2025,FLA,Round 4,2.0,0.192,28.0
2025,PIT,Round 4,1.0,0.192,26.0
2025,NSH,Round 4,1.0,0.192,4.0
2025,NYR,Round 4,1.0,0.192,25.0
2025,DET,Round 4,1.0,0.192,15.0
2025,BUF,Round 4,2.0,0.192,13.0
2025,OTT,Round 4,1.0,0.192,11.0
2025,SJS,Round 4,2.0,0.192,7.0
2025,DAL,Round 4,0.0,0.192,27.0
2025,MIN,Round 4,1.0,0.192,18.0
2025,COL,Round 5,1.0,0.123,23.0
2025,CHI,Round 5,0.0,0.123,2.0
2025,CBJ,Round 5,1.0,0.123,16.0
2025,STL,Round 5,1.0,0.123,9.0
2025,BOS,Round 5,1.0,0.123,31.0
2025,MTL,Round 5,1.0,0.123,3.0
2025,VAN,Round 5,1.0,0.123,29.0
2025,WSH,Round 5,1.0,0.123,8.0
2025,ARI,Round 5,1.0,0.123,1.0
2025,NJD,Round 5,0.0,0.123,19.0
2025,ANA,Round 5,1.0,0.123,10.0
2025,CGY,Round 5,1.0,0.123,6.0
2025,PHI,Round 5,2.0,0.123,5.0
2025,VGK,Round 5,1.0,0.123,17.0
2025,CAR,Round 5,0.0,0.123,14.0
2025,NYI,Round 5,1.0,0.123,20.0
2025,WPG,Round 5,1.0,0.123,24.0
2025,LAK,Round 5,1.0,0.123,21.0
2025,SEA,Round 5,1.0,0.123,12.0
2025,TBL,Round 5,1.0,0.123,32.0
2025,TOR,Round 5,2.0,0.123,30.0
2025,EDM,Round 5,1.0,0.123,22.0
2025,FLA,Round 5,2.0,0.123,28.0
2025,PIT,Round 5,1.0,0.123,26.0
2025,NSH,Round 5,1.0,0.123,4.0
2025,NYR,Round 5,2.0,0.123,25.0
2025,DET,Round 5,1.0,0.123,15.0
2025,BUF,Round 5,1.0,0.123,13.0
2025,OTT,Round 5,1.0,0.123,11.0
2025,SJS,Round 5,0.0,0.123,7.0
2025,DAL,Round 5,2.0,0.123,27.0
2025,MIN,Round 5,0.0,0.123,18.0
2025,COL,Round 6,1.0,0.067,23.0
2025,CHI,Round 6,1.0,0.067,2.0
2025,CBJ,Round 6,1.0,0.067,16.0
2025,STL,Round 6,1.0,0.067,9.0
2025,BOS,Round 6,1.0,0.067,31.0
2025,MTL,Round 6,1.0,0.067,3.0
2025,VAN,Round 6,1.0,0.067,29.0
2025,WSH,Round 6,1.0,0.067,8.0
2025,ARI,Round 6,1.0,0.067,1.0
2025,NJD,Round 6,1.0,0.067,19.0
2025,ANA,Round 6,1.0,0.067,10.0
2025,CGY,Round 6,1.0,0.067,6.0
2025,PHI,Round 6,1.0,0.067,5.0
2025,VGK,Round 6,1.0,0.067,17.0
2025,CAR,Round 6,1.0,0.067,14.0
2025,NYI,Round 6,1.0,0.067,20.0
2025,WPG,Round 6,1.0,0.067,24.0
2025,LAK,Round 6,1.0,0.067,21.0
2025,SEA,Round 6,1.0,0.067,12.0
2025,TBL,Round 6,1.0,0.067,32.0
2025,TOR,Round 6,1.0,0.067,30.0
2025,EDM,Round 6,1.0,0.067,22.0
