team,position,num,cf_name,player_id,player,line
MTL,LW,55,Michael Pezzetta,8479543.0,Michael Pezzetta,4th line
MTL,C,28,Christian Dvorak,8477989.0,Christian Dvorak,4th line
MTL,RW,40,Joel Armia,8476469.0,Joel Armia,4th line
MTL,LD,8,Michael Matheson,8476875.0,Mike Matheson,1st pair
MTL,RD,52,Justin Barron,8482111.0,Justin Barron,1st pair
MTL,G,31.0,Carey Price,8471679.0,Carey Price,IR
MTL,D,47.0,Jayden Struble,8481593.0,Jayden Struble,Scratch
MTL,F,,Alex Barre-Boulet,8479718.0,Alex Barré-Boulet,Scratch
MTL,LW,49,Rafael Harvey-Pinard,8481093.0,Rafael Harvey-Pinard,3rd line
NJD,LD,71,Jonas Siegenthaler,8478399.0,Jonas Siegenthaler,1st pair
NJD,RD,7,Dougie Hamilton,8476462.0,Dougie Hamilton,1st pair
NJD,LD,43,Luke Hughes,8482684.0,Luke Hughes,2nd pair
NJD,RD,22,Brett Pesce,8477488.0,Brett Pesce,2nd pair
NJD,LD,5,Brenden Dillon,8475455.0,Brenden Dillon,3rd pair
NJD,F,23.0,Kurtis MacDermid,8477073.0,Kurtis MacDermid,Scratch
NJD,G,25,Jacob Markstrom,8474593.0,Jacob Markstrom,Goalie
NJD,G,34,Jake Allen,8474596.0,Jake Allen,Goalie
NJD,F,46.0,Max Willman,8478051.0,Max Willman,Scratch
NJD,D,8.0,Johnathan Kovacevic,8480192.0,Johnathan Kovacevic,Scratch
NJD,RD,17,Simon Nemec,8483495.0,Simon Nemec,3rd pair
NJD,RW,14,Nathan Bastian,8479414.0,Nathan Bastian,4th line
NJD,LW,47,Paul Cotter,8481032.0,Paul Cotter,4th line
NJD,RW,,Tomas Tatar,8475193.0,Tomas Tatar,3rd line
NJD,C,42,Curtis Lazar,8477508.0,Curtis Lazar,4th line
NJD,LW,28,Timo Meier,8478414.0,Timo Meier,1st line
NJD,C,13,Nico Hischier,8480002.0,Nico Hischier,1st line
NJD,RW,63,Jesper Bratt,8479407.0,Jesper Bratt,1st line
NJD,C,56,Erik Haula,8475287.0,Erik Haula,3rd line
NJD,C,86,Jack Hughes,8481559.0,Jack Hughes,2nd line
NJD,RW,91,Dawson Mercer,8482110.0,Dawson Mercer,2nd line
