player_id,player,position,shoots_catches,height,weight,birth_date,birth_country,draft_year,draft_team,round,pick,overall,primary_number,headshot,mp_name,cw_name,dupe_names
8476302,Frank Corrado,D,R,"6'0""",205,1993-03-26,CAN,2011,VAN,5,29,150,18,https://assets.nhle.com/mugs/nhl/latest/8476302.png,Frank Corrado,Frank Corrado,
8476303,Rob O'Gara,D,L,"6'4""",214,1993-07-06,USA,2011,BOS,5,30,151,46,https://assets.nhle.com/mugs/nhl/latest/8476303.png,Rob O'Gara,Rob O'Gara,
8476304,David Broll,L,L,"6'2""",235,1993-01-04,CAN,2011,TOR,6,1,152,0,https://assets.nhle.com/mugs/nhl/latest/8476304.png,David Broll,David Broll,
8476309,Jason Kasdorf,G,L,"6'4""",205,1992-05-18,CAN,2011,WPG,6,6,157,33,https://assets.nhle.com/mugs/nhl/latest/8476309.png,Jason Kasdorf,Jason Kasdorf,
8476310,Lukas Sedlak,C,L,"6'0""",205,1993-02-25,CZE,2011,CBJ,6,7,158,23,https://assets.nhle.com/mugs/nhl/latest/8476310.png,Lukas Sedlak,Lukas Sedlak,
8476312,Josh Manson,D,R,"6'3""",218,1991-10-07,USA,2011,ANA,6,9,160,42,https://assets.nhle.com/mugs/nhl/20232024/COL/8476312.png,Josh Manson,Josh Manson,
8476316,Laurent Brossoit,G,L,"6'3""",203,1993-03-23,CAN,2011,CGY,6,13,164,39,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476316.png,Laurent Brossoit,Laurent Brossoit,
8476319,Nathan Lieuwen,G,L,"6'5""",189,1991-08-08,CAN,2011,BUF,6,16,167,50,https://assets.nhle.com/mugs/nhl/latest/8476319.png,Nathan Lieuwen,Nathan Lieuwen,
8476322,Chase Balisy,C,L,"5'11""",179,1992-02-02,USA,2011,NSH,6,19,170,23,https://assets.nhle.com/mugs/nhl/latest/8476322.png,Chase Balisy,Chase Balisy,
8476323,Max McCormick,L,L,"5'11""",188,1992-05-01,USA,2011,OTT,6,20,171,71,https://assets.nhle.com/mugs/nhl/20232024/SEA/8476323.png,Max McCormick,Max McCormick,
8476326,Josh Archibald,R,R,"5'10""",176,1992-10-06,CAN,2011,PIT,6,23,174,15,https://assets.nhle.com/mugs/nhl/latest/8476326.png,Josh Archibald,Josh Archibald,
8476329,Travis Boyd,C,R,"6'0""",190,1993-09-14,USA,2011,WSH,6,26,177,72,https://assets.nhle.com/mugs/nhl/20232024/ARI/8476329.png,Travis Boyd,Travis Boyd,
8476330,Adam Wilcox,G,L,"6'0""",189,1992-11-26,USA,2011,TBL,6,27,178,32,https://assets.nhle.com/mugs/nhl/latest/8476330.png,Adam Wilcox,Adam Wilcox,
